529,24,"Fencing Men's epee, Masters, Individual"
530,13,"Gymnastics Men's Individual All-Around, Field Sports"
531,13,"Gymnastics Men's Individual All-Around, Apparatus Work"
532,14,"Art Competitions Mixed Music, Compositions For Solo Or Chorus"
533,24,"Fencing Women's epee, Team"
534,10,"Swimming Men's 4,000 metres Freestyle"
535,10,Swimming Men's Underwater Swimming
536,11,Sailing Mixed Skiff
537,26,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team"
538,26,"Shooting Men's Running Target, Single And Double Shot"
539,26,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres"
540,26,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres"
541,10,Swimming Women's 10 kilometres Open Water
542,51,Snowboarding Women's Slopestyle
543,51,Snowboarding Men's Giant Slalom
544,51,Snowboarding Men's Parallel Giant Slalom
545,51,Snowboarding Men's Boardercross
546,51,Snowboarding Men's Parallel Slalom
547,29,"Cycling Men's Team Pursuit, 1,980 yards"
548,29,"Cycling Men's 5,000 metres"
549,29,Cycling Men's 100 kilometres
550,57,Cricket Men's Cricket
551,31,"Canoeing Men's Canadian Singles, 10,000 metres"
552,8,Cross Country Skiing Women's Team Sprint
553,27,Boxing Women's Middleweight
554,11,Sailing Men's Skiff
555,2,Athletics Men's Pentathlon
556,10,"Swimming Men's 1,200 metres Freestyle"
557,26,Shooting Women's Skeet
558,12,Biathlon Men's 15 kilometres Mass Start
559,8,Cross Country Skiing Men's 30 km Skiathlon
560,29,Cycling Men's 1/4 mile
561,29,Cycling Men's 1/2 mile
562,29,Cycling Men's 5 mile
563,29,Cycling Men's 25 mile
564,26,"Shooting Men's Small-Bore Rifle, Standing, 50 metres"
565,26,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team"
566,7,Speed Skating Men's Team Pursuit (8 laps)
567,26,"Shooting Men's Free Rifle, 1,000 Yards"
568,29,Cycling Women's Team Pursuit
569,7,"Speed Skating Women's 5,000 metres"
570,2,"Athletics Men's 3,000 metres Walk"
571,51,Snowboarding Women's Boardercross
572,26,"Shooting Mixed Running Target, 50 metres"
573,19,Luge Mixed Team Relay
574,29,Cycling Women's Individual Time Trial
575,24,"Fencing Women's Sabre, Individual"
576,24,"Fencing Men's Sabre, Individual, Three Hits"
577,37,Archery Women's Double National Round
578,29,Cycling Men's Omnium
579,25,Equestrianism Mixed Hacks And Hunter Combined
580,11,Sailing Mixed 10 metres
581,26,"Shooting Men's Trap, Team"
582,29,"Cycling Women's Individual Pursuit, 3,000 metres"
583,29,Cycling Women's Points Race
584,11,Sailing Men's Two Person Keelboat
585,29,Cycling Men's Keirin
586,29,Cycling Men's Team Sprint
587,2,Athletics Men's 5 mile
588,26,"Shooting Men's Running Target, Single Shot, Team"
589,23,Bobsleigh Women's Two
590,58,Racquets Men's Singles
591,58,Racquets Men's Doubles
592,14,"Art Competitions Mixed Literature, Lyric Works"
593,59,Motorboating Mixed A-Class (Open)
594,37,Archery Men's Continental Style
595,60,Military Ski Patrol Men's Military Ski Patrol
596,14,"Art Competitions Mixed Painting, Graphic Arts"
597,18,"Wrestling Women's Flyweight, Freestyle"
598,14,"Art Competitions Mixed Literature, Unknown Event"
599,11,Sailing Mixed 0.5-1 Ton
600,14,"Art Competitions Mixed Painting, Applied Arts"
601,61,"Croquet Mixed Singles, One Ball"
602,61,Croquet Mixed Doubles
603,26,"Shooting Men's Running Target, Double Shot, Team"
604,26,"Shooting Men's Free Pistol, 50 yards"
605,26,"Shooting Men's Free Pistol, 50 yards, Team"
606,24,"Fencing Men's epee, Masters and Amateurs, Individual"
607,10,Swimming Men's 10 kilometres Open Water
608,14,"Art Competitions Mixed Music, Compositions For Orchestra"
609,37,Archery Men's Double York Round
610,18,"Wrestling Women's Middleweight, Freestyle"
611,25,"Equestrianism Men's Vaulting, Individual"
612,10,Swimming Men's 4 x 250 metres Freestyle Relay
613,44,Freestyle Skiing Women's Slopestyle
614,40,Table Tennis Women's Team
615,2,Athletics Women's Hammer Throw
616,31,"Canoeing Men's Kayak Singles, 200 metres"
617,53,Short Track Speed Skating Women's 500 metres
618,26,Shooting Women's Double Trap
619,22,Rowing Men's 6-Man Naval Rowing Boats
620,14,Art Competitions Mixed Music
621,26,"Shooting Men's Free Rifle, Kneeling, 300 metres"
